author_id,name
1,Mark P. O. Morford
2,Robert J. Lenardon
3,Richard Bruce Wright
4,Carlo D'Este
5,Gina Kolata
6,Elizabeth Wayland Barber
7,E. J. W. Barber
8,Amy Tan
9,Robert Cowley
10,Scott Turow
11,Stacy Keach
12,David Cordingly
13,Ann Beattie
14,David Adams Richards
15,Kensington
16,Sheila Heti
17,J. R. Kaiser
18,Jack Canfield
19,Mark Victor Hansen
20,Jennifer Read Haw
21,Loren D. Estleman
22,John Kenneth
23,Robert Hendrickson
24,Julia Oliver
25,John Grisham
26,Toni Morrison
27,The Onion
28,Scott Dikkers
29,Mike Loew
30,Celia Brooks Brown
31,Jane Noraika
32,Philip Webb
33,J. R. Parrish
34,Mary-Kate &Amp
35,Ashley Olsen
36,Robynn Clairday
37,Kathleen Duey
38,Karen A. Bale
39,Bill Dodge
40,Rich Shapero
41,Michael Crichton
42,C.S. Lewis
43,Arthur Phillips
44,Stephen Jaramillo
45,Mordecai Richler
46,Michael Panofsky
47,Anette Grube
48,Eleanor Cooney
49,Daniel Altieri
50,Charlotte Link
51,Richard North Patterson
52,Kristian Lutze
53,Mark Salzman
54,Harper Lee
55,Laura Hillenbrand
56,Barbara Kingsolver
57,Jo Dereske
58,Jane Austen
59,Dolores Krieger
60,Anne Rivers Siddons
61,Dean Koontz
62,Mary Higgins Clark
63,Patricia Cornwell
64,J.D. Robb
65,Maeve Binchy
66,Laura J. Mixon
67,Tim Lahaye
68,Jerry B. Jenkins
69,Bernie S. Siegel M.D.
70,Robert Penn Warren
71,Hans Johannes Hoefer
72,Mark Helprin
73,O. Carl Simonton M.D.
74,James Creighton Ph.D.
75,Stepha
76,Chuck Hill
77,David Iglehart
78,Larry Mcmurtry
79,Suzanne Fisher Staples
80,Michel Tournier
81,Carl Sagan
82,Aleksandr Zinoviev
83,Anne Tyler
84,Joseph Conrad
85,Deepak Chopra
86,Martin Greenberg
87,Thomas Hardy
88,Charles Noland
89,Sherri Baker
90,Valerie Frankel
91,Benjamin Hoff
92,Niccolo Machiavelli
93,H. Jackson Brown Jr.
94,Robert A. Heinlein
95,Philip Pullman
96,Michael Ondaatje
97,Sandra Levy Ceren
98,P. J. O'Rourke
99,Mike Gayle
100,Stel Pavlou
101,Sarah Payne Stuart
102,Dan Quayle
103,Donald F. Kettl
104,Donald Kettl
105,David Frum
106,Louis L'Amour
107,J.D. Salinger
108,John Berendt
109,Jennifer Crusie
110,Jane Heller
111,Michael Rips
112,Simon Mawer
113,William Abrahams
114,Robert T. Kiyosaki
115,Sharon L. Lechter
116,Ken Follett
117,John F. Love
118,Robert G. Allen
119,Louis De Bernieres
120,Pam Proctor
121,Allen M. Schoen
122,Mitch Albom
123,Michael Jan Friedman
124,Ronald D. Moore
125,Glendon Swarthout
126,Neal Barrett Jr.
127,J. Michael Straczynski
128,David Morrell
129,Sandra Brown
130,James Patterson
131,Peter De Jonge
132,Stuart Woods
133,Iris Johansen
134,Dan Brown
135,Joe Hutsko
136,Anita Shreve
137,Ann Rule
138,Lewis Grizzard
139,Paul Theroux
140,Charles Hickey
141,Todd Lighty
142,John O'Brien
143,Stephen King
144,Ben Mezrich
145,Bill Hand
146,Tom Clancy
147,Dana Reeve
148,Roy
149,Barbara Metzger
150,Gabriel Garcia Marquez
151,Rebecca Wells
152,Tony Hillerman
153,Robert James Waller
154,Rachel Harris
155,Ian Mcewan
156,Michael Lewis
157,Richard Zimler
158,Norman Jetmundsen
159,Lorenzo Carcaterra
160,Anne Frasier
161,Kay Hooper
162,Daphne Du Maurier
163,Nathaniel Hawthorne
164,Leo Marx
165,Nick Page
166,Laura Wolf
167,Lois Duncan
168,Susan Grant
169,Barbara Vine
170,Shirley Rousseau Murphy
171,Jane Lindskold
172,Betty Smith
173,Cybill Shepherd
174,Aimee Lee Ball
175,Stewart O'Nan
176,David Baldacci
177,Douglas Adams
178,Mary Lawson
179,Willa Cather
180,Olivia Goldsmith
181,Helen Fielding
182,Dover Thrift Editions
183,Franklin W. Dixon
184,Lilian Jackson Braun
185,Holly Virden
186,Michelle Mckinney Hammond
187,H. Norman Wright
188,Piers Anthony
189,Ray Bradbury
190,Friedrich Schiller
191,Walter Schafarschik
192,Peter Naujack
193,Raymond Chandler
194,Hans Wollschläger
195,Thomas Schlück
196,Norbert Wölfl
197,Alexander Schmitz
198,Jürgen Bauer
199,Alastair Ker
200,Paulo Coelho
201,Maralde Meyer-Minnemann
202,Gabriel García Márquez
203,Fay Weldon
204,Arabella Weir
205,Kiana Davenport
206,Margarete Längsfeld
207,Sue Townsend
208,Renan Demirkan
209,Michael Moore
210,Helmut Dierlamm
211,Heike Schlatterer
212,Jonathan Franzen
213,Bettina Abarbanell
214,J. D. Salinger
215,Annemarie Böll
216,Heinrich Böll
217,Elisab
218,James Joyce
219,Joanna Trollope
220,Antoinette Gittinger
221,Milan Kundera
222,Arundhati Roy
223,Robert S. Levinson
224,Lorna Landvik
225,Arthur Golden
226,Kent Haruf
227,Patricia D. Cornwell
228,Carol J. Farley
229,Tom Newsom
230,Kathleen E. Woodiwiss
231,Belva Plain
232,Mark Haddon
233,Ann Brashares
234,Erich Segal
235,Elizabeth Adler
236,Nicholas Sparks
237,John Saul
238,Steve Thayer
239,Tracy Chevalier
240,Judith Kelman
241,Michael Palmer
242,Francine Hughes
243,Norman Bridwell
244,Frank Mccourt
245,Malachy Mccourt
246,Mari Sandoz
247,Anne Perry
248,Alexander Mccall Smith
249,Barbara Bergman
250,Gregory Maguire
251,Yann Martel
252,Ruth Rendell
253,Al Franken
254,Donna Tartt
255,John Milne
256,Terry Pratchett
257,E. B. White
258,Garth Williams
259,J. M. Barrie
260,Mary O'Hara
261,Paul Kidby
262,Louise Rennison
263,Kenneth Grahame
264,Bernard Cornwell
265,Charles De Lint
266,Lord Dunsany
267,Neil Gaiman
268,Georgette Heyer
269,Oscar Wilde
270,Jeffrey Eugenides
271,Ted Hughes
272,Andrew Davidson
273,Roald Dahl
274,Quentin Blake
275,Donna Jo Napoli
276,A.S. Byatt
277,Tanuja Desai Hidier
278,Sophie Kinsella
279,Isabel Wolff
280,Louisa May Alcott
281,Margaret Drabble
282,George Orwell
283,Charles Dickens
284,Isabel Allende
285,Ellen Datlow
286,Terri Windling
287,Charles Vess
288,Neil Gaim
289,Joseph Heller
290,John Galsworthy
291,Enid Blyton
292,Alan Moore
293,Kevin O'Neill
294,Ben Dimagmaliw
295,Sam Kieth
296,Mike Dringenberg
297,Malcolm Jon
298,John Bolton
299,Trudy Suggs
300,Tom Wolfe
301,Brady Udall
302,Homer Hickam
303,Pearl Abraham
304,Sebastian Junger
305,Karen Armstrong
306,Mary Barnard
307,Dudley Fitts
308,David Brin
309,T. C. Boyle
310,T. Coraghessan Boyle
311,Plato
312,Alexander Nehamas
313,Paul Woodruff
314,Lynda Madaras
315,Dane Saavedra
316,Jackie Aher
317,Stephen Mccauley
318,Isabelle Holland
319,Pam Conrad
320,Lurlene Mcdaniel
321,Brian Kaufman
322,John Darnton
323,Martin Schenk
324,David Eddings
325,Leigh Eddings
326,Paul Reiser
327,David G. Hartwell
328,Kathryn Cramer
329,Dave Barry
330,John R. Holt
331,Theodore Beale
332,Frank M. Robinson
333,Mary Jane Clark
334,Mary Shelley
335,Robert Westall
336,Robert B. Parker
337,Rita Chapman Works
338,Mark Carwardine
339,A. Manette Ansay
340,Sarah Waters
341,Anne Frank
342,Barry Lopez
343,Greg Palast
344,Andrea Kane
345,Nevada Barr
346,Margaret Maron
347,Edna Barker
348,Shelagh Rogers
349,Muriel Whitaker
350,John Irving
351,William Golding
352,Hermann Stiehl
353,Harperreference
354,Ltd
355,Ann Patchett
356,Lane Smith
357,Sue Monk
358,Sue Monk Kidd Kidd
359,Roseanne J. Serra (Co
360,Bob Thiele
361,Bob Golden
362,Steve Allen
363,Colleen Mccullough
364,Joanne Harris
365,Thomas Cahill
366,Michael Hudson
367,Jane Smiley
368,Dick Francis
369,Nora Roberts
370,Jean Marzollo
371,Walter Wick
372,Carol Devine Carson
373,Barbara Delinsky
